epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.5156,1.50679,1.67983,1.42247,0.56365,0.49067,0.49813,0.26514,1.64019,1.82252,1.62042,0.0673333,0.000329966,0.000329966
2,157.388,1.4597,1.37939,1.41533,0.47065,0.41011,0.37995,0.17601,1.97085,2.18574,2.02741,0.0343202,0.000650166,0.000650166
3,216.799,1.49359,1.35825,1.42822,0.47087,0.43185,0.39816,0.21244,1.68672,1.93803,1.68084,0.00129387,0.000957166,0.000957166
4,260.254,1.46763,1.30837,1.41082,0.60265,0.56815,0.56827,0.31218,1.60521,1.77837,1.56626,0.0009406,0.0009406,0.0009406
5,304.003,1.4372,1.28251,1.38672,0.61917,0.55022,0.57324,0.31929,1.57255,1.7172,1.52092,0.0009208,0.0009208,0.0009208
6,347.117,1.39073,1.20908,1.35146,0.67108,0.61119,0.64912,0.37174,1.45888,1.42447,1.41766,0.000901,0.000901,0.000901
7,390.88,1.38974,1.19533,1.36431,0.707,0.58034,0.64056,0.39127,1.39445,1.30033,1.41304,0.0008812,0.0008812,0.0008812
8,432.17,1.34951,1.1476,1.33243,0.6641,0.53587,0.59546,0.33794,1.50494,1.33981,1.44111,0.0008614,0.0008614,0.0008614
9,470.772,1.35478,1.13707,1.32151,0.71283,0.61549,0.68312,0.42246,1.37611,1.2242,1.36369,0.0008416,0.0008416,0.0008416
10,509.304,1.30215,1.07991,1.30207,0.75809,0.62195,0.71528,0.44174,1.3357,1.10607,1.3441,0.0008218,0.0008218,0.0008218
11,547.823,1.30037,1.0636,1.29875,0.70939,0.62984,0.69535,0.43654,1.33477,1.15077,1.34991,0.000802,0.000802,0.000802
12,586.536,1.28091,1.03959,1.28348,0.73737,0.64634,0.72295,0.44865,1.36369,1.06864,1.37425,0.0007822,0.0007822,0.0007822
13,625.288,1.27765,1.02942,1.28028,0.7316,0.63158,0.71654,0.44398,1.34613,1.10203,1.32898,0.0007624,0.0007624,0.0007624
14,663.989,1.26048,1.02269,1.2679,0.72042,0.65925,0.71715,0.44197,1.34051,1.0931,1.36436,0.0007426,0.0007426,0.0007426
15,704.021,1.25101,1.00198,1.25574,0.74495,0.63056,0.72894,0.46083,1.29941,1.07013,1.31701,0.0007228,0.0007228,0.0007228
16,745.35,1.22772,0.96595,1.24577,0.77042,0.62052,0.72776,0.46001,1.32965,1.09584,1.34333,0.000703,0.000703,0.000703
17,784.093,1.21561,0.9507,1.24625,0.76518,0.66571,0.75516,0.48165,1.28901,1.01944,1.30933,0.0006832,0.0006832,0.0006832
18,822.715,1.20707,0.94326,1.2551,0.75339,0.6736,0.74226,0.47326,1.27666,1.04299,1.29721,0.0006634,0.0006634,0.0006634
19,861.204,1.18594,0.91954,1.21946,0.74792,0.69512,0.76775,0.49465,1.28133,0.95996,1.2901,0.0006436,0.0006436,0.0006436
20,899.875,1.16323,0.90102,1.21281,0.7642,0.68436,0.75959,0.48257,1.28969,1.00461,1.32095,0.0006238,0.0006238,0.0006238
21,939.347,1.17145,0.88671,1.21984,0.7399,0.67748,0.74894,0.48862,1.25103,0.995,1.28497,0.000604,0.000604,0.000604
22,977.926,1.17516,0.87372,1.21748,0.74803,0.68006,0.76003,0.48507,1.26779,0.97107,1.29007,0.0005842,0.0005842,0.0005842
23,1016.42,1.14751,0.86328,1.19837,0.75206,0.71162,0.77465,0.49738,1.2544,0.96347,1.28089,0.0005644,0.0005644,0.0005644
24,1055.06,1.13799,0.83148,1.18467,0.78996,0.68723,0.78595,0.51937,1.21771,0.91987,1.2535,0.0005446,0.0005446,0.0005446
25,1093.89,1.12598,0.83239,1.1934,0.7629,0.69476,0.77325,0.50427,1.2575,0.96895,1.2749,0.0005248,0.0005248,0.0005248
26,1132.72,1.11439,0.81105,1.17539,0.78382,0.68667,0.77919,0.49515,1.28944,0.95076,1.29778,0.000505,0.000505,0.000505
27,1171.25,1.1094,0.80668,1.18558,0.74895,0.7023,0.77642,0.50602,1.25526,0.91539,1.27955,0.0004852,0.0004852,0.0004852
28,1209.83,1.09629,0.80762,1.1705,0.7624,0.70667,0.77849,0.51261,1.22579,0.93301,1.24623,0.0004654,0.0004654,0.0004654
29,1248.54,1.09444,0.79627,1.16578,0.81534,0.69584,0.79859,0.53399,1.21174,0.88208,1.24825,0.0004456,0.0004456,0.0004456
30,1287.39,1.08034,0.77266,1.1603,0.78101,0.7109,0.78462,0.51868,1.21605,0.89956,1.24275,0.0004258,0.0004258,0.0004258
31,1326.44,1.06575,0.76757,1.15529,0.78054,0.69871,0.78285,0.51769,1.2281,0.92029,1.26067,0.000406,0.000406,0.000406
32,1364.95,1.06993,0.76401,1.1658,0.8155,0.69759,0.80177,0.53004,1.21151,0.85657,1.24588,0.0003862,0.0003862,0.0003862
33,1403.72,1.0475,0.74278,1.1448,0.79372,0.70661,0.79485,0.52881,1.21096,0.85709,1.2546,0.0003664,0.0003664,0.0003664
34,1442.28,1.05444,0.74235,1.14704,0.77618,0.72453,0.7875,0.5242,1.21131,0.87482,1.24822,0.0003466,0.0003466,0.0003466
35,1481.06,1.03305,0.73415,1.13626,0.75621,0.74175,0.79588,0.52408,1.22975,0.88501,1.2662,0.0003268,0.0003268,0.0003268
