epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.111,0.62957,0.83673,1,0.42627,0.00040008,0.00040008,0.00040008
2,21.2872,0.39693,0.82653,1,0.4574,0.000776397,0.000776397,0.000776397
3,28.6515,0.36823,0.86735,1,0.38818,0.00111146,0.00111146,0.00111146
4,35.932,0.30539,0.86735,1,0.45288,0.00140526,0.00140526,0.00140526
5,39.0365,0.34764,0.86735,1,0.29932,0.00133693,0.00133693,0.00133693
6,42.0997,0.34396,0.88776,1,0.3147,0.00125442,0.00125442,0.00125442
7,45.1179,0.26374,0.89796,1,0.33392,0.0011719,0.0011719,0.0011719
8,48.3185,0.26111,0.90816,1,0.27307,0.00108938,0.00108938,0.00108938
9,51.1772,0.23066,0.94898,1,0.23187,0.00100687,0.00100687,0.00100687
10,54.3622,0.22336,0.89796,1,0.29315,0.000924352,0.000924352,0.000924352
11,98.3782,0.22884,0.88776,1,0.28113,0.000841835,0.000841835,0.000841835
12,101.414,0.18977,0.93878,1,0.28247,0.000759318,0.000759318,0.000759318
13,104.314,0.17253,0.92857,1,0.28094,0.000676802,0.000676802,0.000676802
14,107.008,0.14464,0.93878,1,0.26544,0.000594286,0.000594286,0.000594286
15,110.076,0.13977,0.94898,1,0.1864,0.000511769,0.000511769,0.000511769
16,113.052,0.1404,0.93878,1,0.2757,0.000429253,0.000429253,0.000429253
17,116.183,0.12976,0.93878,1,0.26599,0.000346736,0.000346736,0.000346736
18,119.004,0.13206,0.91837,1,0.24445,0.00026422,0.00026422,0.00026422
19,121.967,0.12167,0.91837,1,0.28064,0.000181703,0.000181703,0.000181703
20,124.917,0.11201,0.91837,1,0.25699,9.91865e-05,9.91865e-05,9.91865e-05
